movement_id,product_id,movement_date,movement_type,quantity,warehouse,unit_cost,notes
1,438,2025-01-30 10:51:32.183800,Return,96,Warehouse_C,207.9,New arrival
2,226,2025-07-05 10:51:32.183929,Return,42,Warehouse_A,38.32,Regular movement
3,276,2024-09-15 10:51:32.184024,Adjustment,-98,Warehouse_B,429.33,Clearance
4,259,2025-05-23 10:51:32.184106,Adjustment,56,Warehouse_A,30.09,New arrival
5,285,2025-01-17 10:51:32.184187,Purchase,63,Warehouse_A,370.24,Regular movement
6,421,2025-08-18 10:51:32.184267,Adjustment,37,Warehouse_A,308.54,New arrival
7,255,2024-09-16 10:51:32.184342,Return,-69,Warehouse_C,189.29,Seasonal stock
8,183,2025-05-14 10:51:32.184419,Purchase,55,Warehouse_C,296.56,Regular movement
9,20,2025-07-04 10:51:32.184492,Return,-46,Warehouse_A,385.43,New arrival
10,199,2025-02-12 10:51:32.184567,Sale,-80,Warehouse_C,266.99,Seasonal stock
11,423,2024-10-30 10:51:32.184640,Adjustment,42,Warehouse_C,235.72,Regular movement
12,66,2025-03-02 10:51:32.184717,Sale,-56,Warehouse_A,251.45,Regular movement
13,309,2025-07-21 10:51:32.184789,Sale,84,Warehouse_B,443.1,New arrival
14,418,2024-11-09 10:51:32.184862,Sale,83,Warehouse_B,117.53,New arrival
15,302,2025-02-04 10:51:32.184933,Purchase,-48,Warehouse_A,103.57,Regular movement
16,284,2025-03-07 10:51:32.185005,Sale,59,Warehouse_C,112.8,Seasonal stock
17,135,2024-10-16 10:51:32.185077,Adjustment,-3,Warehouse_B,378.74,Seasonal stock
18,289,2025-05-26 10:51:32.185148,Purchase,24,Warehouse_B,251.51,New arrival
19,443,2024-11-13 10:51:32.185221,Return,54,Warehouse_B,377.43,Regular movement
20,195,2025-02-06 10:51:32.185290,Adjustment,45,Warehouse_C,30.31,Seasonal stock
21,5,2025-02-24 10:51:32.185361,Adjustment,51,Warehouse_C,55.31,New arrival
22,403,2024-12-12 10:51:32.185431,Purchase,39,Warehouse_C,312.68,Clearance
23,71,2025-07-11 10:51:32.185502,Return,98,Warehouse_B,28.9,Regular movement
24,191,2025-07-06 10:51:32.185572,Adjustment,-89,Warehouse_B,28.43,Seasonal stock
